ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
3,2020-05-23,The Last Recipe,A famous chef who is tasked with tracking down a 70-year-old missing recipe.,71,NA,Japan,2017-11-03T00:00:00Z,NA,NA,FALSE,"Kazunari Ninomiya, Hidetoshi Nishijima, Go Ayano, Aoi Miyazaki, Daigo Nishihata, Yutaka Takenouchi, Yoshi Oida",Yojiro Takita,173,movie,https://flixpatrol.com/title/the-last-recipe,最後食譜,NA,NA,日本
3,2020-05-24,The Last Recipe,A famous chef who is tasked with tracking down a 70-year-old missing recipe.,71,NA,Japan,2017-11-03T00:00:00Z,NA,NA,FALSE,"Kazunari Ninomiya, Hidetoshi Nishijima, Go Ayano, Aoi Miyazaki, Daigo Nishihata, Yutaka Takenouchi, Yoshi Oida",Yojiro Takita,173,movie,https://flixpatrol.com/title/the-last-recipe,最後食譜,NA,NA,日本
3,2020-05-25,Daytime Shooting Star,"Fifteen-year-old country girl Suzume Yosano has to move to Tokyo to live with her uncle due to her father's transfer. She bumps into a mysterious man who ends up taking her to her uncle's place after she gets lost. Turns out, Suzume will be seeing him a lot more often once she starts school because... he's her homeroom teacher?!",68,NA,Japan,2017-03-24T00:00:00Z,NA,NA,FALSE,"Mei Nagano, Shohei Miura, Alan Shirahama, Maika Yamamoto, Ryuta Sato, Naomi Nishida",Takehiko Shinjo,167,movie,https://flixpatrol.com/title/daytime-shooting-star,白晝的流星,NA,NA,日本
3,2020-05-26,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",59,34,USA,2012-04-11T00:00:00Z,Science Fiction,Alien Invasion,FALSE,"Taylor Kitsch, Alexander Skarsgard, Adam S. Gottbetter, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson",Peter Berg,127,movie,https://flixpatrol.com/title/battleship,戰艦,科幻小說,外星人入侵,美國
3,2020-05-27,Inuyashiki,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,66,89,Japan,2018-04-20T00:00:00Z,NA,NA,FALSE,"Noritake Kinashi, Takeru Satoh, Kanata Hongo, Fumi Nikaido, Ayaka Miyoshi, Nayuta Fukuzaki, Mari Hamada",Shinsuke Sato,171,movie,https://flixpatrol.com/title/inuyashiki,犬屋敷,NA,NA,日本
3,2020-05-28,Inuyashiki,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,66,89,Japan,2018-04-20T00:00:00Z,NA,NA,FALSE,"Noritake Kinashi, Takeru Satoh, Kanata Hongo, Fumi Nikaido, Ayaka Miyoshi, Nayuta Fukuzaki, Mari Hamada",Shinsuke Sato,171,movie,https://flixpatrol.com/title/inuyashiki,犬屋敷,NA,NA,日本
3,2020-05-29,Inuyashiki,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,66,89,Japan,2018-04-20T00:00:00Z,NA,NA,FALSE,"Noritake Kinashi, Takeru Satoh, Kanata Hongo, Fumi Nikaido, Ayaka Miyoshi, Nayuta Fukuzaki, Mari Hamada",Shinsuke Sato,171,movie,https://flixpatrol.com/title/inuyashiki,犬屋敷,NA,NA,日本
3,2020-05-30,Inuyashiki,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,66,89,Japan,2018-04-20T00:00:00Z,NA,NA,FALSE,"Noritake Kinashi, Takeru Satoh, Kanata Hongo, Fumi Nikaido, Ayaka Miyoshi, Nayuta Fukuzaki, Mari Hamada",Shinsuke Sato,171,movie,https://flixpatrol.com/title/inuyashiki,犬屋敷,NA,NA,日本
3,2020-05-31,Liverleaf,"The story follows Nozaki Haruka, a middle school student who transfers to a new school in a small town because of her father's work. Unfortunately, she becomes a victim of horrific bullying, but since the school will be closing in 2 months after graduation, no one is willing to help her.",62,NA,Japan,2018-04-07T00:00:00Z,NA,NA,FALSE,"Anna Yamada, Hiroya Shimizu, Kenshin Endo, Reiko Kataoka, Ayaka Konno, Aki Morita, Minori Terada",Eisuke Naito,135,movie,https://flixpatrol.com/title/liverleaf,三角草的春天,NA,NA,日本
3,2020-06-01,Wet Woman in the Wind,"One afternoon, Shiori, a very sexually active young woman working in a café, is riding her bicycle and cuts off Kosuke, who is pulling a two-wheeled cart. Once a recognized playwright, Kosuke now lives a quiet life in a mountain hut, far away from the city, in the hope of escaping his past. But after their first encounter, he will soon be caught in Shiori’s web of sexual desires…",59,NA,Japan,2016-08-01T00:00:00Z,NA,NA,FALSE,"Yuki Mamiya, Tasuku Nagaoka, Takahiro Katô, Michiko Suzuki, Ryushin Tei, Nakatani Hitomi",Akihiko Shiota,183,movie,https://flixpatrol.com/title/wet-woman-in-the-wind,野風溼身的女人,NA,NA,日本
