ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
9,2020-04-28,"Tiger King: Murder, Mayhem and Madness",A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.,81,NA,USA,2020-03-20T00:00:00Z,Documentary,Crime,TRUE,"Joe Exotic, Carole Baskin, Dr. Bhagavan Antle, Howard Baskin, John Finlay","Eric Goode, Rebecca Chaiklin",146,drama,https://flixpatrol.com/title/tiger-king-murder-mayhem-and-madness,虎王：謀殺，混亂和瘋狂,記錄,犯罪,美國
9,2020-04-29,Ghost in the Shell: SAC 2045,"In the year 2045, after global capitalism has defaulted, Japan's elite Section 9 begins conducting covert cyber operations.",61,NA,Japan,2020-04-23T00:00:00Z,Animated,Anime,TRUE,"Atsuko Tanaka, Akio Otsuka, Kouichi Yamadera, Yutaka Nakano, Toru Ohkawa, Takashi Onozuka, Taro Yamaguchi","Kenji Kamiyama, Shinji Aramaki",82,drama,https://flixpatrol.com/title/ghost-in-the-shell-sac-2045,攻壳机动队：SAC 2045,動畫,動漫,日本
9,2020-04-30,Ghost in the Shell: SAC 2045,"In the year 2045, after global capitalism has defaulted, Japan's elite Section 9 begins conducting covert cyber operations.",61,NA,Japan,2020-04-23T00:00:00Z,Animated,Anime,TRUE,"Atsuko Tanaka, Akio Otsuka, Kouichi Yamadera, Yutaka Nakano, Toru Ohkawa, Takashi Onozuka, Taro Yamaguchi","Kenji Kamiyama, Shinji Aramaki",82,drama,https://flixpatrol.com/title/ghost-in-the-shell-sac-2045,攻壳机动队：SAC 2045,動畫,動漫,日本
9,2020-05-01,Extracurricular,"Determined to escape a dead-end life, a gifted high school student turns to a world of serious crime to ensure he can pay for college.",74,91,South Korea,2020-04-29T00:00:00Z,Drama,Crime,TRUE,"Kim Dong-hee, Jung Da-bin, Nam Yoon Soo, Kim Yeo-jin, Choi Min-soo, Park Hyuk-kwon",Kim Jin-min,16,drama,https://flixpatrol.com/title/extracurricular,課外活動,戲劇,犯罪,韓國
9,2020-05-02,Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",88,99,South Korea,2019-12-14T00:00:00Z,Comedy,NA,TRUE,"Son Ye-jin, Hyun Bin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Yoo Su-bin",Lee Jung-hyo,1,drama,https://flixpatrol.com/title/crash-landing-on-you,愛的迫降,喜劇,NA,韓國
9,2020-05-03,Extracurricular,"Determined to escape a dead-end life, a gifted high school student turns to a world of serious crime to ensure he can pay for college.",74,91,South Korea,2020-04-29T00:00:00Z,Drama,Crime,TRUE,"Kim Dong-hee, Jung Da-bin, Nam Yoon Soo, Kim Yeo-jin, Choi Min-soo, Park Hyuk-kwon",Kim Jin-min,16,drama,https://flixpatrol.com/title/extracurricular,課外活動,戲劇,犯罪,韓國
9,2020-05-04,Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.",78,98,USA,2020-04-27T00:00:00Z,Comedy,Teens,TRUE,"Maitreyi Ramakrishnan, Lee Rodriguez, Poorna Jagannathan, Richa Moorjani",NA,184,drama,https://flixpatrol.com/title/never-have-i-ever,好想做一次,喜劇,青少年,美國
9,2020-05-05,Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.",78,98,USA,2020-04-27T00:00:00Z,Comedy,Teens,TRUE,"Maitreyi Ramakrishnan, Lee Rodriguez, Poorna Jagannathan, Richa Moorjani",NA,184,drama,https://flixpatrol.com/title/never-have-i-ever,好想做一次,喜劇,青少年,美國
9,2020-05-06,Never Have I Ever,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.",78,98,USA,2020-04-27T00:00:00Z,Comedy,Teens,TRUE,"Maitreyi Ramakrishnan, Lee Rodriguez, Poorna Jagannathan, Richa Moorjani",NA,184,drama,https://flixpatrol.com/title/never-have-i-ever,好想做一次,喜劇,青少年,美國
9,2020-05-07,Extracurricular,"Determined to escape a dead-end life, a gifted high school student turns to a world of serious crime to ensure he can pay for college.",74,91,South Korea,2020-04-29T00:00:00Z,Drama,Crime,TRUE,"Kim Dong-hee, Jung Da-bin, Nam Yoon Soo, Kim Yeo-jin, Choi Min-soo, Park Hyuk-kwon",Kim Jin-min,16,drama,https://flixpatrol.com/title/extracurricular,課外活動,戲劇,犯罪,韓國
9,2020-05-08,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",89,NA,Japan,2015-10-04T00:00:00Z,Animated,Anime,FALSE,"Makoto Furukawa, Kaito Ishikawa, Kazuhiro Yamaji, Yuichi Nakamura, Kenjirou Tsuda, Aoi Yuki, Minami Takayama",Shingo Natsume,185,drama,https://flixpatrol.com/title/one-punch-man,一拳超人,動畫,動漫,日本
9,2020-05-09,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",89,NA,Japan,2015-10-04T00:00:00Z,Animated,Anime,FALSE,"Makoto Furukawa, Kaito Ishikawa, Kazuhiro Yamaji, Yuichi Nakamura, Kenjirou Tsuda, Aoi Yuki, Minami Takayama",Shingo Natsume,185,drama,https://flixpatrol.com/title/one-punch-man,一拳超人,動畫,動漫,日本
9,2020-05-10,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",89,NA,Japan,2015-10-04T00:00:00Z,Animated,Anime,FALSE,"Makoto Furukawa, Kaito Ishikawa, Kazuhiro Yamaji, Yuichi Nakamura, Kenjirou Tsuda, Aoi Yuki, Minami Takayama",Shingo Natsume,185,drama,https://flixpatrol.com/title/one-punch-man,一拳超人,動畫,動漫,日本
9,2020-05-11,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",89,NA,Japan,2015-10-04T00:00:00Z,Animated,Anime,FALSE,"Makoto Furukawa, Kaito Ishikawa, Kazuhiro Yamaji, Yuichi Nakamura, Kenjirou Tsuda, Aoi Yuki, Minami Takayama",Shingo Natsume,185,drama,https://flixpatrol.com/title/one-punch-man,一拳超人,動畫,動漫,日本
