ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
1,2020-08-21,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",61,63,USA,2020-08-14T00:00:00Z,Action,Action Crime,TRUE,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly","Henry Joost, Ariel SchulmanPlay trailerClose",NA,movie,https://flixpatrol.com/title/project-power,超能計畫,動作,犯罪動作,美國
1,2020-08-22,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",61,63,USA,2020-08-14T00:00:00Z,Action,Action Crime,TRUE,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly","Henry Joost, Ariel SchulmanPlay trailerClose",NA,movie,https://flixpatrol.com/title/project-power,超能計畫,動作,犯罪動作,美國
1,2020-08-23,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",57,NA,South Korea,2020-01-01T00:00:00Z,NA,NA,FALSE,NA,NA,NA,movie,https://flixpatrol.com/title/goedam,韓國都市怪談,NA,NA,韓國
1,2020-08-24,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",61,63,USA,2020-08-14T00:00:00Z,Action,Action Crime,TRUE,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly","Henry Joost, Ariel SchulmanPlay trailerClose",NA,movie,https://flixpatrol.com/title/project-power,超能計畫,動作,犯罪動作,美國
1,2020-08-25,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",57,NA,South Korea,2020-01-01T00:00:00Z,NA,NA,FALSE,NA,NA,NA,movie,https://flixpatrol.com/title/goedam,韓國都市怪談,NA,NA,韓國
1,2020-08-26,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",57,NA,South Korea,2020-01-01T00:00:00Z,NA,NA,FALSE,NA,NA,NA,movie,https://flixpatrol.com/title/goedam,韓國都市怪談,NA,NA,韓國
1,2020-08-27,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",57,NA,South Korea,2020-01-01T00:00:00Z,NA,NA,FALSE,NA,NA,NA,movie,https://flixpatrol.com/title/goedam,韓國都市怪談,NA,NA,韓國
1,2020-08-28,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",57,NA,South Korea,2020-01-01T00:00:00Z,NA,NA,FALSE,NA,NA,NA,movie,https://flixpatrol.com/title/goedam,韓國都市怪談,NA,NA,韓國
1,2020-08-29,Escape Plan,"Ray Breslin is the worlds foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. Hes framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",68,49,USA,2013-11-13T00:00:00Z,Action,Action Heroes,FALSE,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Vinnie Jones, Vincent D'Onofrio, Matt Gerald, Lydia Hull",Mikael HafströmPlay trailerClose,NA,movie,https://flixpatrol.com/title/escape-plan,鋼鐵墳墓,動作,動作英雄,美國
1,2020-08-30,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",61,63,USA,2020-08-14T00:00:00Z,Action,Action Crime,TRUE,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly","Henry Joost, Ariel SchulmanPlay trailerClose",NA,movie,https://flixpatrol.com/title/project-power,超能計畫,動作,犯罪動作,美國
1,2020-08-31,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",61,63,USA,2020-08-14T00:00:00Z,Action,Action Crime,TRUE,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly","Henry Joost, Ariel SchulmanPlay trailerClose",NA,movie,https://flixpatrol.com/title/project-power,超能計畫,動作,犯罪動作,美國
